m_(NaI)// ( mol*kg^(-1) ),m_(LBr)// ( mol*kg^(-1) ),phi_(LiBr),m_(NaI)// ( mol*kg^(-1) ),m_(LBr)// ( mol*kg^(-1) ),phi_(LiBr)
0.1864,0.1929,0.806,1.8361,1.8729,1.208
0.2708,0.2791,0.817,1.8943,1.9345,1.223
0.2891,0.2993,0.815,2.0398,2.0815,1.263
0.4159,0.4314,0.834,2.0642,2.1113,1.267
0.5190,0.5378,0.855,2.3149,2.3632,1.337
0.6011,0.6241,0.871,2.4667,2.5118,1.381
0.6391,0.6578,0.887,3.1333,3.1252,1.586
0.7746,0.7889,0.929,3.2160,3.1931,1.615
0.9823,1.0025,0.979,3.3894,3.3421,1.670
1.1190,1.1497,1.007,3.6247,3.5401,1.744
1.2647,1.2931,1.051,3.7357,3.6453,1.773
1.5883,1.6250,1.137,3.8879,3.7555,1.828
1.6837,1.7183,1.166,4.0889,3.9015,1.898
1.7730,1.8105,1.190,,,
