molality,miac_m,mole_fraction,miac
0.000682594,0.805482008715,2.18698334599e-05,0.805517241
0.003412969,0.728116620672,0.000109339570311,0.728275862
0.007508532,0.696216741591,0.000240515503656,0.696551724
0.010921502,0.635417372249,0.00034980251946,0.635862069
0.019112628,0.603398925888,0.000611993835311,0.604137931
0.035494881,0.535334100179,0.00113596410526,0.536551724
0.049829352,0.490846488319,0.00159398758519,0.492413793
0.059385666,0.469935828466,0.00189910328303,0.471724138
0.066211604,0.464237212976,0.0021169288973,0.466206897
0.069624573,0.450404295033,0.00222580605461,0.452413793
