x_H2O,x_Ethanol,molality,miac,miac_m
0.221262145211,0.778737854789,0.0035,0.739206200927,0.739
0.221262145211,0.778737854789,0.003998,0.719229165803,0.719
0.221262145211,0.778737854789,0.004501,0.704252615389,0.704
0.221262145211,0.778737854789,0.005,0.695277033915,0.695
0.221262145211,0.778737854789,0.005931,0.674318688177,0.674
0.221262145211,0.778737854789,0.006998,0.65136318931,0.651
0.221262145211,0.778737854789,0.008047,0.640410574626,0.64
0.221262145211,0.778737854789,0.008771,0.626437725225,0.626
0.221262145211,0.778737854789,0.01005,0.609487934454,0.609
0.221262145211,0.778737854789,0.02,0.531846647534,0.531
0.221262145211,0.778737854789,0.02501,0.501998917332,0.501
0.221262145211,0.778737854789,0.03,0.484155171635,0.483
0.221262145211,0.778737854789,0.035,0.465294685117,0.464
0.221262145211,0.778737854789,0.03999,0.449428260906,0.448
0.38998004895,0.61001995105,0.003001,0.791166773055,0.791
0.38998004895,0.61001995105,0.004,0.764214702329,0.764
0.38998004895,0.61001995105,0.005,0.745261703592,0.745
0.38998004895,0.61001995105,0.006,0.72030350591,0.72
0.38998004895,0.61001995105,0.007,0.705346713349,0.705
0.38998004895,0.61001995105,0.008002,0.691388472249,0.691
0.38998004895,0.61001995105,0.008999,0.67442612553,0.674
0.38998004895,0.61001995105,0.01,0.659462987025,0.659
0.38998004895,0.61001995105,0.03999,0.504413197287,0.503
0.38998004895,0.61001995105,0.04999,0.473657709939,0.472
0.38998004895,0.61001995105,0.06001,0.46796468509,0.466
0.38998004895,0.61001995105,0.07,0.457237653529,0.455
0.38998004895,0.61001995105,0.08001,0.4394564567,0.437
0.38998004895,0.61001995105,0.08999,0.429699638001,0.427
0.38998004895,0.61001995105,0.1,0.413887521508,0.411
0.522884105903,0.477115894097,0.01,0.754473507153,0.754
0.522884105903,0.477115894097,0.02,0.685860351193,0.685
0.522884105903,0.477115894097,0.03,0.643209515619,0.642
0.522884105903,0.477115894097,0.04,0.601507184572,0.6
0.522884105903,0.477115894097,0.04998,0.579814175462,0.578
0.522884105903,0.477115894097,0.06,0.556087450632,0.554
0.522884105903,0.477115894097,0.07,0.543378211656,0.541
0.522884105903,0.477115894097,0.08,0.530652644847,0.528
0.522884105903,0.477115894097,0.09,0.518916402147,0.516
0.522884105903,0.477115894097,0.1,0.503139967858,0.5
0.522884105903,0.477115894097,0.1889,0.443195905773,0.438
0.522884105903,0.477115894097,0.2499,0.419481440014,0.413
0.522884105903,0.477115894097,0.3,0.403460563632,0.396
0.522884105903,0.477115894097,0.35,0.395506172929,0.387
0.522884105903,0.477115894097,0.3997,0.381337535939,0.372
0.522884105903,0.477115894097,0.45,0.377371313837,0.367
0.522884105903,0.477115894097,0.5044,0.367276654489,0.356
0.630283488017,0.369716511983,0.004001,0.863196031696,0.863
0.630283488017,0.369716511983,0.005,0.850241288087,0.85
0.630283488017,0.369716511983,0.006001,0.832283461384,0.832
0.630283488017,0.369716511983,0.007,0.821326278268,0.821
0.630283488017,0.369716511983,0.007997,0.808366847368,0.808
0.630283488017,0.369716511983,0.02,0.726824353653,0.726
0.630283488017,0.369716511983,0.03,0.685164995659,0.684
0.630283488017,0.369716511983,0.04,0.660496553877,0.659
0.630283488017,0.369716511983,0.05,0.636802563946,0.635
0.630283488017,0.369716511983,0.06,0.620105167594,0.618
0.630283488017,0.369716511983,0.06999,0.603388126985,0.601
0.630283488017,0.369716511983,0.08001,0.591675509613,0.589
0.630283488017,0.369716511983,0.09001,0.577938363746,0.575
0.630283488017,0.369716511983,0.1,0.569213389585,0.566
0.630283488017,0.369716511983,0.2,0.49758652889,0.492
0.630283488017,0.369716511983,0.3,0.463766637725,0.456
0.630283488017,0.369716511983,0.4,0.438742361357,0.429
0.630283488017,0.369716511983,0.5,0.426780536023,0.415
0.630283488017,0.369716511983,0.5997,0.412584820211,0.399
0.630283488017,0.369716511983,0.7,0.407578694384,0.392
0.630283488017,0.369716511983,0.7999,0.399347864058,0.382
0.630283488017,0.369716511983,0.9,0.39626330541,0.377
0.630283488017,0.369716511983,0.9996,0.396281609292,0.375
0.630283488017,0.369716511983,1.027,0.389456812831,0.368
0.793206583126,0.206793416874,0.002999,0.908129708485,0.908
0.793206583126,0.206793416874,0.003996,0.894170164542,0.894
0.793206583126,0.206793416874,0.005001,0.887211293699,0.887
0.793206583126,0.206793416874,0.007,0.866288750007,0.866
0.793206583126,0.206793416874,0.008958,0.85336397048,0.853
0.793206583126,0.206793416874,0.01997,0.804764786451,0.804
0.793206583126,0.206793416874,0.03055,0.769117579704,0.768
0.793206583126,0.206793416874,0.04,0.738404214816,0.737
0.793206583126,0.206793416874,0.05001,0.717705595135,0.716
0.793206583126,0.206793416874,0.06,0.700997719449,0.699
0.793206583126,0.206793416874,0.07001,0.693304327468,0.691
0.793206583126,0.206793416874,0.07998,0.676567718251,0.674
0.793206583126,0.206793416874,0.09003,0.667851773093,0.665
0.793206583126,0.206793416874,0.09988,0.651082901231,0.648
0.793206583126,0.206793416874,0.1998,0.605710219542,0.6
0.793206583126,0.206793416874,0.2996,0.571034452278,0.563
0.793206583126,0.206793416874,0.4001,0.548253140267,0.538
0.793206583126,0.206793416874,0.5002,0.530341828829,0.518
0.793206583126,0.206793416874,0.6016,0.522557192048,0.508
0.793206583126,0.206793416874,0.8001,0.508674389899,0.49
0.793206583126,0.206793416874,0.8998,0.501615654959,0.481
0.793206583126,0.206793416874,1,0.501816109113,0.479
0.793206583126,0.206793416874,1.21,0.490742956786,0.464
0.793206583126,0.206793416874,1.4,0.499209007705,0.468
0.793206583126,0.206793416874,1.498,0.498179576461,0.465
0.910942101748,0.0890578982524,0.004014,0.919151343816,0.919
0.910942101748,0.0890578982524,0.004499,0.91816944567,0.918
0.910942101748,0.0890578982524,0.005,0.913187289134,0.913
0.910942101748,0.0890578982524,0.006003,0.906223135331,0.906
0.910942101748,0.0890578982524,0.007006,0.894256968241,0.894
0.910942101748,0.0890578982524,0.009002,0.883326115553,0.883
0.910942101748,0.0890578982524,0.0103,0.875369757573,0.875
0.910942101748,0.0890578982524,0.01894,0.844655834443,0.844
0.910942101748,0.0890578982524,0.02999,0.819006471703,0.818
0.910942101748,0.0890578982524,0.04005,0.789294793581,0.788
0.910942101748,0.0890578982524,0.04997,0.777590899959,0.776
0.910942101748,0.0890578982524,0.06002,0.760869001142,0.759
0.910942101748,0.0890578982524,0.07005,0.755164087994,0.753
0.910942101748,0.0890578982524,0.08302,0.733489842672,0.731
0.910942101748,0.0890578982524,0.08994,0.728678929618,0.726
0.910942101748,0.0890578982524,0.09987,0.725962409877,0.723
0.910942101748,0.0890578982524,0.1005,0.733009959983,0.73
0.910942101748,0.0890578982524,0.1999,0.67347849231,0.668
0.910942101748,0.0890578982524,0.3023,0.654012028122,0.646
0.910942101748,0.0890578982524,0.3997,0.627117916992,0.617
0.910942101748,0.0890578982524,0.4999,0.622510791074,0.61
0.910942101748,0.0890578982524,0.5972,0.606504852125,0.592
0.910942101748,0.0890578982524,0.9021,0.603540186901,0.582
0.910942101748,0.0890578982524,1.002,0.593432270763,0.57
0.910942101748,0.0890578982524,1.179,0.601764988461,0.574
0.910942101748,0.0890578982524,1.401,0.594303252394,0.562
0.910942101748,0.0890578982524,1.6,0.611679373653,0.574
0.910942101748,0.0890578982524,2,0.627591543378,0.58
