component,m,s,e,e_assoc,vol_a,assoc_scheme,dipm,dip_num,z,dielc,d_born,f_solv,MW
H2O,1.2047,sigma=2.7927+left(10.11 * e^-0.01775 T / K-1.417 * e^-0.01146 T / Kright),353.95,2425.7,0.0451,2B,,,,,,,0.01801528
Methanol,1.5255,3.23,188.9,2899.5,0.03518,2B,0.0,1.0,0,33.05,0.0,1.4,0.03204
Ethanol,2.3827,3.1771,198.24,2653.4,0.03238,2B,0.0,1.0,0,24.88,0.0,1.6,0.046068
Butanol,2.7515,3.6139,259.59,2544.6,0.0067,2B,0.0,1.0,0,17.51,0.0,1.0,0.0741216
Benzene,2.4653,3.6478,287.35,0.0,0.0,,0.0,1.0,0,2.28,0.0,1.0,0.0781118
Toluene,2.8149,3.7169,285.69,0.0,0.0,,0.0,1.0,0,2.38,0.0,1.0,0.0921405
Glycine,4.8507,2.3270,216.96,2598.1,0.0393,2B,0.0,1.0,0,78.0,0.0,1.0,0.075067
Alanine,5.4647,2.5222,287.59,3176.6,0.0819,2B,0.0,1.0,0,78.0,0.0,1.0,0.089094
Li+,,2.8449,360,,,,,,,8.0,,,0.00694
Na+,,2.8232,230,,,,,,,8.0,,,0.02298
K+,,3.3417,200,,,,,,,8.0,,,0.0391
Cl-,,2.756,170,,,,,,,8.0,,,0.03545
Br-,,3.0707,190,,,,,,,8.0,,,0.0799
I-,,3.6672,200,,,,,,,8.0,,,0.1269
H3O+,1.0,3.4654,500.00,,,,,,1,8.0,,,0.019023
Cs+,1.0,3.9246,180.00,,,,,,1,8.0,,,0.132905
NH4+,1.0,3.5740,230.00,,,,,,1,8.0,,,0.018038
Mg2+,1.0,3.1327,1500.00,,,,,,2,8.0,,,0.024305
Ca2+,1.0,3.2648,1060.00,,,,,,2,8.0,,,0.040078
Cu2+,1.0,3.8379,1610.90,,,,,,2,8.0,,,0.063546
Zn2+,1.0,2.9798,1250.00,,,,,,2,8.0,,,0.06538
F-,1.0,1.7712,275.00,,,,,,-1,8.0,,,0.018998
NO3-,1.0,3.2988,130.00,,,,,,-1,8.0,,,0.062005
OH-,1.0,2.0177,650.00,,,,,,-1,8.0,,,0.017007
ClO4-,1.0,4.0186,104.16,,,,,,-1,8.0,,,0.09945
HCO3-,1.0,2.9296,70.00,,,,,,-1,8.0,,,0.061017
H2PO4-,1.0,3.6505,95.00,,,,,,-1,8.0,,,0.096987
Fo-,1.0,3.3077,190.00,,,,,,-1,8.0,,,0.045017
Ac-,1.0,3.9328,150.00,,,,,,-1,8.0,,,0.059044
SO4^2-,1.0,2.6491,80.00,,,,,,-2,8.0,,,0.09606
S2O3^2-,1.0,3.1877,80.00,,,,,,-2,8.0,,,0.11213
CO3^2-,1.0,2.4422,249.26,,,,,,-2,8.0,,,0.06001
HPO4^2-,1.0,2.1621,146.02,,,,,,-2,8.0,,,0.09598
PO4^3-,1.0,2.5516,310.00,,,,,,-3,8.0,,,0.09497
