figure_file,axes_index,axes_title,artist_type,artist_label,series_index,point_index,x,y,width,height
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,0,0,1.0000076213524434,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,1,0.00012866401486961572,0.91270474999267392,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,2,0.00025729492514115718,0.88297929306136502,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,3,0.00038589274358944863,0.86231138356105286,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,4,0.00051445748298274197,0.8462007456380527,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,5,0.00064298915608272168,0.8329301139514893,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,6,0.0007714877756445081,0.82163076478151253,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,7,0.00089995335441666225,0.8117932962505392,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,8,0.0010283859051411902,0.8030899026770969,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,9,0.0011567854405535466,0.79529565206154451,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,10,0.0012851519733826401,0.78824861196574958,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,11,0.0014134855163508355,0.78182794932304744,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,12,0.00154178608217396,0.77594080997681336,,
miac_water-methanol_5_NaBr_h2o100_meoh00.png,0,"NaBr in water-methanol at 298.15 K (x_H2O=1.00, x_Methanol=0.00) [MIAC]",line,NaBr 2012,0,13,0.0016700536835613071,0.77051414220947445,,
