figure_file,axes_index,axes_title,artist_type,artist_label,series_index,point_index,x,y,width,height
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,0,0,1.0000110568488636,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,1,0.0028571428571428571,0.90488875590104834,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,2,0.0057142857142857143,0.87105308175377238,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,3,0.0085714285714285719,0.84697679286015648,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,4,0.011428571428571429,0.82784616720927084,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,5,0.014285714285714285,0.81181638251743038,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,6,0.017142857142857144,0.79795057810712988,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,7,0.02,0.7856974122688104,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,8,0.022857142857142857,0.77470096516469833,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,9,0.025714285714285714,0.76471610403539203,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,10,0.028571428571428571,0.75556592972100278,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,11,0.031428571428571431,0.74711800281882723,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,12,0.034285714285714287,0.73927025819530001,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,13,0.037142857142857144,0.73194223829162641,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,14,0.040000000000000001,0.72506913874200607,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,15,0.042857142857142858,0.71859801725536165,,
maic_m_water-methanol-ethanol_4_NaCl_h2o77_meoh11_etoh13.png,0,"NaCl in water-methanol-ethanol at 298.15 K (x_H2O=0.77, x_Methanol=0.11, x_Ethanol=0.13) [MIAC_m]",line,NaCl 2012,0,16,0.045714285714285714,0.712484951806724,,
